stock,quarter_end,eps,price,pe
20MICRONS.NS,2023-03-31,2.64,73.05,27.6705
20MICRONS.NS,2023-06-30,4.23,92.72,21.9196
20MICRONS.NS,2023-09-30,4.54,132.1,29.0969
20MICRONS.NS,2023-12-31,3.25,174.42,53.6677
20MICRONS.NS,2024-03-31,3.87,142.25,36.7571
20MICRONS.NS,2024-06-30,5.06,218.54,43.1897
20MICRONS.NS,2024-09-30,4.65,298.4,64.172
20MICRONS.NS,2024-12-31,3.65,234.42,64.2247
20MICRONS.NS,2025-03-31,4.31,190.18,44.1253
20MICRONS.NS,2025-06-30,4.78,230.24,48.1674
20MICRONS.NS,2025-09-30,4.93,207.16,42.0203
20MICRONS.NS,2025-12-31,4.24,212.77,50.1816
20MICRONS.NS,2026-03-31,4.99,133.14,26.6814
360ONE.NS,2023-03-31,4.37,407.12,93.1625
360ONE.NS,2023-06-30,5.15,434.4,84.3495
360ONE.NS,2023-09-30,5.2,483.14,92.9115
360ONE.NS,2023-12-31,5.36,688.09,128.375
360ONE.NS,2024-03-31,6.76,659.6,97.574
360ONE.NS,2024-06-30,6.72,961.23,143.0402
360ONE.NS,2024-09-30,6.73,1022.1,151.8722
360ONE.NS,2024-12-31,7.12,1233.68,173.2697
360ONE.NS,2025-03-31,6.35,926.78,145.9496
360ONE.NS,2025-06-30,7.04,1181.6,167.8409
360ONE.NS,2025-09-30,7.79,1012.94,130.0308
360ONE.NS,2025-12-31,8.08,1183.13,146.427
360ONE.NS,2026-03-31,7.11,944.12,132.7876
3MINDIA.NS,2021-06-30,26.72,22604.07,845.9607
3MINDIA.NS,2021-09-30,57.01,23069.45,404.6562
3MINDIA.NS,2021-12-31,59.24,23560.24,397.7083
3MINDIA.NS,2022-03-31,98.46,18298.84,185.8505
3MINDIA.NS,2022-06-30,74.8,20302.47,271.4234
3MINDIA.NS,2022-09-30,94.3,22859.31,242.4105
3MINDIA.NS,2022-12-31,110.79,21123.6,190.6634
3MINDIA.NS,2023-03-31,120.48,22106.22,183.4846
3MINDIA.NS,2023-06-30,114.7,26003.86,226.7119
3MINDIA.NS,2023-09-30,129.7,30726.81,236.9068
3MINDIA.NS,2023-12-31,120.05,36043.41,300.2367
3MINDIA.NS,2024-03-31,153.44,30135.09,196.3966
3MINDIA.NS,2024-06-30,139.5,35555.69,254.8795
5PAISA.NS,2023-03-31,3.13,283.0,90.4153
5PAISA.NS,2023-06-30,3.16,370.75,117.3259
5PAISA.NS,2023-09-30,4.13,440.9,106.7554
5PAISA.NS,2023-12-31,3.23,566.25,175.3096
5PAISA.NS,2024-03-31,1.24,505.05,407.2984
5PAISA.NS,2024-06-30,4.29,513.0,119.5804
5PAISA.NS,2024-09-30,4.68,538.45,115.0534
5PAISA.NS,2024-12-31,3.46,468.1,135.289
5PAISA.NS,2025-03-31,2.15,355.35,165.2791
5PAISA.NS,2025-06-30,2.46,412.5,167.6829
5PAISA.NS,2025-09-30,2.02,343.2,169.901
5PAISA.NS,2025-12-31,2.62,333.85,127.4237
5PAISA.NS,2026-03-31,2.32,249.1,107.3707
63MOONS.NS,2023-03-31,-5.16,172.46,-33.4225
63MOONS.NS,2023-06-30,8.54,240.45,28.1557
63MOONS.NS,2023-09-30,17.88,278.5,15.5761
63MOONS.NS,2023-12-31,20.12,468.42,23.2813
63MOONS.NS,2024-03-31,1.74,379.15,217.9023
63MOONS.NS,2024-06-30,-1.86,364.74,-196.0968
63MOONS.NS,2024-09-30,-4.1,388.2,-94.6829
63MOONS.NS,2024-12-31,-3.62,903.23,-249.511
63MOONS.NS,2025-03-31,2.39,813.05,340.1883
63MOONS.NS,2025-06-30,0.67,1000.26,1492.9254
63MOONS.NS,2025-09-30,-6.13,837.55,-136.6313
63MOONS.NS,2025-12-31,-4.29,719.0,-167.5991
63MOONS.NS,2026-03-31,4.88,470.3,96.373
AADHARHFC.NS,2023-03-31,3.56,,
AADHARHFC.NS,2023-06-30,3.71,,
AADHARHFC.NS,2023-09-30,5.0,,
AADHARHFC.NS,2023-12-31,5.17,,
AADHARHFC.NS,2024-03-31,5.11,,
AADHARHFC.NS,2024-06-30,4.69,408.75,87.1535
AADHARHFC.NS,2024-09-30,5.29,469.25,88.7051
AADHARHFC.NS,2024-12-31,5.56,422.6,76.0072
AADHARHFC.NS,2025-03-31,5.68,424.85,74.7975
AADHARHFC.NS,2025-06-30,5.49,454.6,82.8051
AADHARHFC.NS,2025-09-30,6.15,510.25,82.9675
AADHARHFC.NS,2025-12-31,6.48,485.05,74.8534
AADHARHFC.NS,2026-03-31,7.14,448.85,62.8641
AARTIDRUGS.NS,2023-03-31,6.06,334.51,55.1997
AARTIDRUGS.NS,2023-06-30,5.17,460.64,89.0986
AARTIDRUGS.NS,2023-09-30,4.31,537.34,124.6729
AARTIDRUGS.NS,2023-12-31,3.99,484.51,121.4311
AARTIDRUGS.NS,2024-03-31,5.15,430.96,83.6816
AARTIDRUGS.NS,2024-06-30,3.62,500.67,138.3066
AARTIDRUGS.NS,2024-09-30,3.84,509.25,132.6172
AARTIDRUGS.NS,2024-12-31,4.06,456.86,112.5271
AARTIDRUGS.NS,2025-03-31,6.89,338.48,49.1263
AARTIDRUGS.NS,2025-06-30,5.91,455.7,77.1066
AARTIDRUGS.NS,2025-09-30,4.96,483.9,97.5605
AARTIDRUGS.NS,2025-12-31,4.44,409.45,92.2185
AARTIDRUGS.NS,2026-03-31,6.05,319.75,52.8512
AARTIIND.NS,2023-03-31,4.11,514.34,125.1436
AARTIIND.NS,2023-06-30,1.93,499.9,259.0155
AARTIIND.NS,2023-09-30,2.51,489.38,194.9721
AARTIIND.NS,2023-12-31,3.42,646.94,189.1637
AARTIIND.NS,2024-03-31,3.64,662.82,182.0934
AARTIIND.NS,2024-06-30,3.78,683.43,180.8016
AARTIIND.NS,2024-09-30,1.43,581.4,406.5734
AARTIIND.NS,2024-12-31,1.27,408.96,322.0157
AARTIIND.NS,2025-03-31,2.65,389.71,147.0604
AARTIIND.NS,2025-06-30,1.19,478.18,401.8319
AARTIIND.NS,2025-09-30,2.92,374.9,128.3904
AARTIIND.NS,2025-12-31,3.67,373.9,101.8801
AARTIIND.NS,2026-03-31,3.78,399.05,105.5688
AARTIPHARM.NS,2023-03-31,4.73,272.1,57.5264
AARTIPHARM.NS,2023-06-30,5.2,365.9,70.3654
AARTIPHARM.NS,2023-09-30,5.72,455.67,79.6626
AARTIPHARM.NS,2023-12-31,5.82,497.59,85.4966
AARTIPHARM.NS,2024-03-31,7.2,430.69,59.8181
AARTIPHARM.NS,2024-06-30,6.12,605.11,98.8742
AARTIPHARM.NS,2024-09-30,6.03,631.49,104.7247
AARTIPHARM.NS,2024-12-31,8.16,680.63,83.4105
AARTIPHARM.NS,2025-03-31,9.75,745.65,76.4769
AARTIPHARM.NS,2025-06-30,5.46,886.07,162.2839
AARTIPHARM.NS,2025-09-30,3.08,825.9,268.1494
AARTIPHARM.NS,2025-12-31,5.29,750.81,141.9301
AARTIPHARM.NS,2026-03-31,6.74,591.95,87.8264
AAVAS.NS,2021-03-31,11.14,2420.85,217.3115
AAVAS.NS,2021-06-30,7.52,2712.4,360.6915
AAVAS.NS,2021-09-30,11.65,2560.0,219.7425
AAVAS.NS,2021-12-31,11.25,2616.05,232.5378
AAVAS.NS,2022-03-31,14.63,2569.45,175.6288
AAVAS.NS,2022-06-30,11.28,2015.45,178.6746
AAVAS.NS,2022-09-30,13.49,2241.7,166.1749
AAVAS.NS,2022-12-31,13.55,1845.85,136.2251
AAVAS.NS,2023-03-31,16.04,1610.75,100.4208
AAVAS.NS,2023-06-30,13.89,1536.95,110.6515
AAVAS.NS,2023-09-30,15.38,1739.3,113.0884
AAVAS.NS,2023-12-31,14.75,1532.25,103.8814
AAVAS.NS,2024-03-31,18.0,1315.65,73.0917
ABB.NS,2019-03-31,5.48,1152.81,210.3668
ABB.NS,2019-06-30,6.15,1409.9,229.252
ABB.NS,2019-09-30,6.38,1333.26,208.9749
ABB.NS,2022-03-31,3.76,2110.18,561.2181
ABB.NS,2022-06-30,6.87,2255.59,328.3246
ABB.NS,2024-09-30,20.79,7958.31,382.7951
ABB.NS,2024-12-31,24.94,6829.27,273.828
ABB.NS,2025-03-31,22.4,5479.67,244.6281
ABB.NS,2025-06-30,16.6,6044.17,364.1066
ABB.NS,2025-09-30,19.3,5162.19,267.471
ABB.NS,2025-12-31,20.43,5148.94,252.0284
ABB.NS,2026-03-31,84.17,5917.3,70.3018
ABCAPITAL.NS,2023-03-31,2.52,153.55,60.9325
ABCAPITAL.NS,2023-06-30,2.5,196.3,78.52
ABCAPITAL.NS,2023-09-30,2.71,179.95,66.4022
ABCAPITAL.NS,2023-12-31,2.83,166.4,58.7986
ABCAPITAL.NS,2024-03-31,4.79,175.4,36.618
ABCAPITAL.NS,2024-06-30,2.92,238.71,81.75
ABCAPITAL.NS,2024-09-30,3.84,237.48,61.8438
ABCAPITAL.NS,2024-12-31,2.72,177.82,65.375
ABCAPITAL.NS,2025-03-31,3.32,185.07,55.744
ABCAPITAL.NS,2025-06-30,3.2,276.6,86.4375
ABCAPITAL.NS,2025-09-30,3.27,292.35,89.4037
ABCAPITAL.NS,2025-12-31,3.61,357.7,99.0859
ABCAPITAL.NS,2026-03-31,4.31,292.25,67.8074
ABDL.NS,2023-03-31,-0.05,,
ABDL.NS,2023-06-30,-0.11,,
ABDL.NS,2023-09-30,0.46,,
ABDL.NS,2023-12-31,-0.18,,
ABDL.NS,2024-03-31,-0.1,,
ABDL.NS,2024-06-30,0.4,,
ABDL.NS,2024-09-30,1.7,333.31,196.0647
ABDL.NS,2024-12-31,2.05,422.34,206.0195
ABDL.NS,2025-03-31,2.81,301.06,107.1388
ABDL.NS,2025-06-30,2.02,427.25,211.5099
ABDL.NS,2025-09-30,2.3,503.34,218.8435
ABDL.NS,2025-12-31,2.38,608.28,255.5798
ABDL.NS,2026-03-31,1.46,400.58,274.3699
ABFRL.NS,2023-03-31,-1.97,214.35,-108.8071
ABFRL.NS,2023-06-30,-1.49,212.95,-142.9195
ABFRL.NS,2023-09-30,-1.89,214.25,-113.3598
ABFRL.NS,2023-12-31,-0.82,223.7,-272.8049
ABFRL.NS,2024-03-31,-2.26,205.55,-90.9513
ABFRL.NS,2024-06-30,-1.59,312.15,-196.3208
ABFRL.NS,2024-09-30,-1.36,349.2,-256.7647
ABFRL.NS,2024-12-31,-0.48,279.95,-583.2292
ABFRL.NS,2025-03-31,-0.14,256.27,-1830.5
ABFRL.NS,2025-06-30,-1.74,75.0,-43.1034
ABFRL.NS,2025-09-30,-2.16,84.49,-39.1157
ABFRL.NS,2025-12-31,-1.25,76.78,-61.424
ABFRL.NS,2026-03-31,-1.22,53.89,-44.1721
ABREL.NS,2023-03-31,13.01,628.66,48.3213
ABREL.NS,2023-06-30,-0.53,854.25,-1611.7925
ABREL.NS,2023-09-30,-2.73,1113.5,-407.8755
ABREL.NS,2023-12-31,7.46,1218.66,163.3592
ABREL.NS,2024-03-31,0.34,1624.72,4778.5882
ABREL.NS,2024-06-30,0.7,2308.09,3297.2714
ABREL.NS,2024-09-30,0.23,2847.5,12380.4348
ABREL.NS,2024-12-31,-3.63,2506.4,-690.4683
ABREL.NS,2025-03-31,-11.73,1958.14,-166.9344
ABREL.NS,2025-06-30,-2.28,2433.62,-1067.3772
ABREL.NS,2025-09-30,-1.41,1689.4,-1198.156
ABREL.NS,2025-12-31,-6.52,1674.8,-256.8712
ABREL.NS,2026-03-31,0.97,1123.0,1157.732
ABSLAMC.NS,2023-03-31,4.71,293.29,62.2696
ABSLAMC.NS,2023-06-30,6.41,350.92,54.7457
ABSLAMC.NS,2023-09-30,6.18,413.99,66.9887
ABSLAMC.NS,2023-12-31,7.27,448.07,61.6327
ABSLAMC.NS,2024-03-31,7.23,434.37,60.0788
ABSLAMC.NS,2024-06-30,8.18,603.49,73.7763
ABSLAMC.NS,2024-09-30,8.41,699.77,83.2069
ABSLAMC.NS,2024-12-31,7.78,814.37,104.6748
ABSLAMC.NS,2025-03-31,7.91,619.67,78.3401
ABSLAMC.NS,2025-06-30,9.6,778.46,81.0896
ABSLAMC.NS,2025-09-30,8.36,791.5,94.677
ABSLAMC.NS,2025-12-31,9.33,805.25,86.3076
ABSLAMC.NS,2026-03-31,6.48,878.3,135.5401
ACC.NS,2023-03-31,12.55,1637.88,130.5084
ACC.NS,2023-06-30,24.82,1781.81,71.7893
ACC.NS,2023-09-30,20.65,1986.96,96.2208
ACC.NS,2023-12-31,28.63,2183.46,76.2648
ACC.NS,2024-03-31,50.23,2460.38,48.9823
ACC.NS,2024-06-30,19.15,2593.51,135.4313
ACC.NS,2024-09-30,10.63,2488.94,234.143
ACC.NS,2024-12-31,58.14,2032.49,34.9585
ACC.NS,2025-03-31,39.99,1923.71,48.1048
ACC.NS,2025-06-30,19.99,1906.17,95.3562
ACC.NS,2025-09-30,59.6,1814.2,30.4396
ACC.NS,2025-12-31,21.52,1727.7,80.2835
ACC.NS,2026-03-31,12.69,1247.38,98.2963
ACCELYA.NS,2023-03-31,24.31,1052.11,43.2789
ACCELYA.NS,2023-06-30,21.51,1142.04,53.0934
ACCELYA.NS,2023-09-30,21.12,1406.68,66.6042
ACCELYA.NS,2023-12-31,20.72,1243.92,60.0347
ACCELYA.NS,2024-03-31,0.13,1496.71,11513.1538
ACCELYA.NS,2024-06-30,20.9,1540.67,73.7163
ACCELYA.NS,2024-09-30,21.75,1667.78,76.6795
ACCELYA.NS,2024-12-31,21.68,1339.72,61.7952
ACCELYA.NS,2025-03-31,20.27,1194.91,58.9497
ACCELYA.NS,2025-06-30,22.75,1333.37,58.6097
ACCELYA.NS,2025-09-30,19.84,1384.76,69.7964
ACCELYA.NS,2025-12-31,9.34,1265.47,135.4893
ACCELYA.NS,2026-03-31,14.32,1024.6,71.5503
ACE.NS,2023-03-31,4.0,404.87,101.2175
ACE.NS,2023-06-30,5.67,487.66,86.0071
ACE.NS,2023-09-30,6.21,685.95,110.4589
ACE.NS,2023-12-31,7.41,826.08,111.4818
ACE.NS,2024-03-31,8.27,1421.36,171.8694
ACE.NS,2024-06-30,7.07,1481.39,209.5318
ACE.NS,2024-09-30,7.96,1385.79,174.0942
ACE.NS,2024-12-31,9.38,1504.19,160.3614
ACE.NS,2025-03-31,9.96,1254.42,125.9458
ACE.NS,2025-06-30,8.21,1216.01,148.1133
ACE.NS,2025-09-30,7.56,1072.6,141.8783
ACE.NS,2025-12-31,9.78,946.65,96.7945
ACE.NS,2026-03-31,9.31,748.95,80.4458
ACI.NS,2023-03-31,11.09,638.13,57.541
ACI.NS,2023-06-30,7.63,526.09,68.9502
ACI.NS,2023-09-30,5.36,580.44,108.291
ACI.NS,2023-12-31,8.23,641.62,77.9611
ACI.NS,2024-03-31,4.67,661.7,141.6916
ACI.NS,2024-06-30,3.64,662.65,182.0467
ACI.NS,2024-09-30,1.28,714.95,558.5547
ACI.NS,2024-12-31,3.89,663.2,170.4884
ACI.NS,2025-03-31,4.34,512.99,118.2005
ACI.NS,2025-06-30,3.26,629.63,193.138
ACI.NS,2025-09-30,2.36,686.06,290.7034
ACI.NS,2025-12-31,1.91,554.53,290.3298
ACI.NS,2026-03-31,1.09,584.69,536.4128
ACMESOLAR.NS,2023-06-30,7.88,,
ACMESOLAR.NS,2023-09-30,3.7,,
ACMESOLAR.NS,2023-12-31,4.26,,
ACMESOLAR.NS,2024-03-31,50.97,,
ACMESOLAR.NS,2024-06-30,0.03,,
ACMESOLAR.NS,2024-09-30,0.29,,
ACMESOLAR.NS,2024-12-31,1.85,235.22,127.1459
ACMESOLAR.NS,2025-03-31,2.04,191.63,93.9363
ACMESOLAR.NS,2025-06-30,2.16,248.98,115.2685
ACMESOLAR.NS,2025-09-30,1.9,276.76,145.6632
ACMESOLAR.NS,2025-12-31,1.88,237.28,126.2128
ACMESOLAR.NS,2026-03-31,2.3,261.61,113.7435
ACUTAAS.NS,2023-03-31,3.73,442.46,118.622
ACUTAAS.NS,2023-06-30,2.71,632.68,233.4613
ACUTAAS.NS,2023-09-30,-2.55,614.73,-241.0706
ACUTAAS.NS,2023-12-31,2.27,559.28,246.3789
ACUTAAS.NS,2024-03-31,3.41,545.17,159.8739
ACUTAAS.NS,2024-06-30,1.71,644.24,376.7485
ACUTAAS.NS,2024-09-30,4.56,870.11,190.8136
ACUTAAS.NS,2024-12-31,5.49,1073.33,195.5064
ACUTAAS.NS,2025-03-31,7.63,1219.16,159.7851
ACUTAAS.NS,2025-06-30,5.41,1143.24,211.3198
ACUTAAS.NS,2025-09-30,8.82,1317.8,149.4104
ACUTAAS.NS,2025-12-31,13.19,1704.9,129.257
ACUTAAS.NS,2026-03-31,16.09,2558.6,159.018
ADANIENSOL.NS,2023-03-31,3.49,993.05,284.5415
ADANIENSOL.NS,2023-06-30,1.57,767.25,488.6943
ADANIENSOL.NS,2023-09-30,2.47,810.25,328.0364
ADANIENSOL.NS,2023-12-31,2.91,1045.75,359.3643
ADANIENSOL.NS,2024-03-31,3.24,1026.7,316.8827
ADANIENSOL.NS,2024-06-30,-7.39,997.35,-134.9594
ADANIENSOL.NS,2024-09-30,5.62,1009.65,179.653
ADANIENSOL.NS,2024-12-31,4.68,806.2,172.265
ADANIENSOL.NS,2025-03-31,5.39,872.0,161.7811
ADANIENSOL.NS,2025-06-30,4.27,881.75,206.4988
ADANIENSOL.NS,2025-09-30,4.44,872.25,196.4527
ADANIENSOL.NS,2025-12-31,4.6,1027.35,223.337
ADANIENSOL.NS,2026-03-31,5.69,934.9,164.3058
ADANIENT.NS,2023-03-31,5.66,1747.27,308.7049
ADANIENT.NS,2023-06-30,5.28,2383.71,451.4602
ADANIENT.NS,2023-09-30,1.78,2410.68,1354.3146
ADANIENT.NS,2023-12-31,14.79,2845.15,192.3698
ADANIENT.NS,2024-03-31,3.53,3192.84,904.4873
ADANIENT.NS,2024-06-30,11.39,3174.16,278.6795
ADANIENT.NS,2024-09-30,13.64,3132.9,229.6848
ADANIENT.NS,2024-12-31,0.45,2526.27,5613.9333
ADANIENT.NS,2025-03-31,29.74,2313.62,77.7949
ADANIENT.NS,2025-06-30,5.68,2618.23,460.956
ADANIENT.NS,2025-09-30,24.74,2504.78,101.2441
ADANIENT.NS,2025-12-31,43.53,2238.7,51.4289
ADANIENT.NS,2026-03-31,-1.71,1758.01,-1028.076
ADANIGREEN.NS,2023-03-31,3.21,881.15,274.5016
ADANIGREEN.NS,2023-06-30,2.03,945.9,465.9606
ADANIGREEN.NS,2023-09-30,2.35,987.15,420.0638
ADANIGREEN.NS,2023-12-31,1.62,1597.0,985.8025
ADANIGREEN.NS,2024-03-31,0.95,1835.15,1931.7368
ADANIGREEN.NS,2024-06-30,2.82,1788.8,634.3262
ADANIGREEN.NS,2024-09-30,1.74,1902.7,1093.5057
ADANIGREEN.NS,2024-12-31,3.11,1040.7,334.6302
ADANIGREEN.NS,2025-03-31,1.45,948.65,654.2414
ADANIGREEN.NS,2025-06-30,4.39,1025.6,233.6219
ADANIGREEN.NS,2025-09-30,3.54,1026.85,290.0706
ADANIGREEN.NS,2025-12-31,-0.25,1015.1,-4060.4
ADANIGREEN.NS,2026-03-31,2.41,806.9,334.8133
ADANIPORTS.NS,2023-03-31,5.36,619.36,115.5522
ADANIPORTS.NS,2023-06-30,9.79,724.58,74.0123
ADANIPORTS.NS,2023-09-30,8.09,814.22,100.6452
ADANIPORTS.NS,2023-12-31,10.22,1010.78,98.9022
ADANIPORTS.NS,2024-03-31,9.44,1324.07,140.2617
ADANIPORTS.NS,2024-06-30,14.41,1464.77,101.6495
ADANIPORTS.NS,2024-09-30,11.32,1435.14,126.7792
ADANIPORTS.NS,2024-12-31,11.67,1220.0,104.5416
ADANIPORTS.NS,2025-03-31,13.95,1172.28,84.0344
ADANIPORTS.NS,2025-06-30,15.34,1444.11,94.1402
ADANIPORTS.NS,2025-09-30,14.39,1397.61,97.1237
ADANIPORTS.NS,2025-12-31,13.25,1463.63,110.4626
ADANIPORTS.NS,2026-03-31,14.45,1307.09,90.4561
ADANIPOWER.NS,2023-03-31,2.72,38.32,14.0882
ADANIPOWER.NS,2023-06-30,4.54,49.97,11.0066
ADANIPOWER.NS,2023-09-30,3.42,75.49,22.0731
ADANIPOWER.NS,2023-12-31,1.42,105.03,73.9648
ADANIPOWER.NS,2024-03-31,1.42,106.76,75.1831
ADANIPOWER.NS,2024-06-30,2.03,143.72,70.798
ADANIPOWER.NS,2024-09-30,1.73,131.23,75.8555
ADANIPOWER.NS,2024-12-31,1.59,105.89,66.5975
ADANIPOWER.NS,2025-03-31,1.37,101.86,74.3504
ADANIPOWER.NS,2025-06-30,1.76,117.15,66.5625
ADANIPOWER.NS,2025-09-30,1.53,144.65,94.5425
ADANIPOWER.NS,2025-12-31,1.29,142.99,110.845
ADANIPOWER.NS,2026-03-31,2.08,150.43,72.3221
ADFFOODS.NS,2023-03-31,1.49,143.76,96.4832
ADFFOODS.NS,2023-06-30,1.37,180.94,132.073
ADFFOODS.NS,2023-09-30,1.37,203.21,148.3285
ADFFOODS.NS,2023-12-31,1.76,197.67,112.3125
ADFFOODS.NS,2024-03-31,2.35,182.66,77.7277
ADFFOODS.NS,2024-06-30,1.37,238.88,174.365
ADFFOODS.NS,2024-09-30,1.79,262.48,146.6369
ADFFOODS.NS,2024-12-31,1.71,294.39,172.1579
ADFFOODS.NS,2025-03-31,1.5,234.14,156.0933
ADFFOODS.NS,2025-06-30,1.39,270.83,194.8417
ADFFOODS.NS,2025-09-30,2.4,220.43,91.8458
ADFFOODS.NS,2025-12-31,2.04,203.95,99.9755
ADFFOODS.NS,2026-03-31,2.36,167.18,70.839
ADOR.NS,2022-09-30,7.34,873.28,118.9755
ADOR.NS,2022-12-31,12.03,809.62,67.3001
ADOR.NS,2023-09-30,19.08,1071.77,56.1724
ADOR.NS,2023-12-31,13.76,1465.08,106.4738
ADOR.NS,2024-03-31,18.66,1327.84,71.1597
ADOR.NS,2024-06-30,14.6,1386.45,94.9623
ADOR.NS,2024-09-30,4.93,1348.69,273.568
ADOR.NS,2024-12-31,8.85,1086.28,122.7435
ADOR.NS,2025-03-31,10.39,821.65,79.0808
ADOR.NS,2025-06-30,-2.27,1002.16,-441.4802
ADOR.NS,2025-09-30,14.37,964.45,67.1155
ADOR.NS,2025-12-31,15.35,1065.0,69.3811
ADOR.NS,2026-03-31,19.65,878.0,44.6819
ADSL.NS,2023-03-31,-6.81,73.35,-10.7709
ADSL.NS,2023-06-30,1.56,109.35,70.0962
ADSL.NS,2023-09-30,2.08,128.71,61.8798
ADSL.NS,2023-12-31,2.12,133.73,63.0802
ADSL.NS,2024-03-31,2.55,135.68,53.2078
ADSL.NS,2024-06-30,1.88,178.15,94.7606
ADSL.NS,2024-09-30,2.08,265.13,127.4663
ADSL.NS,2024-12-31,3.15,230.46,73.1619
ADSL.NS,2025-03-31,-1.35,185.24,-137.2148
ADSL.NS,2025-06-30,2.56,178.93,69.8945
ADSL.NS,2025-09-30,2.73,178.47,65.3736
ADSL.NS,2025-12-31,2.46,151.9,61.748
ADSL.NS,2026-03-31,-0.6,87.17,-145.2833
ADVAIT.NS,2023-03-31,3.43,,
ADVAIT.NS,2023-06-30,1.44,,
ADVAIT.NS,2023-09-30,5.39,,
ADVAIT.NS,2023-12-31,7.54,,
ADVAIT.NS,2024-03-31,7.09,,
ADVAIT.NS,2024-06-30,5.33,,
ADVAIT.NS,2024-09-30,4.02,,
ADVAIT.NS,2024-12-31,9.06,,
ADVAIT.NS,2025-03-31,10.5,,
ADVAIT.NS,2025-06-30,7.73,,
ADVAIT.NS,2025-09-30,8.78,,
ADVAIT.NS,2025-12-31,15.17,,
ADVAIT.NS,2026-03-31,16.15,1690.1,104.6502
ADVENTHTL.NS,2024-09-30,-5290.0,,
ADVENTHTL.NS,2024-12-31,5175.0,,
ADVENTHTL.NS,2025-03-31,11900.0,,
ADVENTHTL.NS,2025-06-30,16255.0,,
ADVENTHTL.NS,2025-09-30,0.06,,
ADVENTHTL.NS,2025-12-31,5.28,223.59,42.3466
ADVENTHTL.NS,2026-03-31,0.53,125.11,236.0566
ADVENZYMES.NS,2023-03-31,2.87,221.05,77.0209
ADVENZYMES.NS,2023-06-30,2.58,270.1,104.6899
ADVENZYMES.NS,2023-09-30,3.08,310.76,100.8961
ADVENZYMES.NS,2023-12-31,3.74,363.95,97.3128
ADVENZYMES.NS,2024-03-31,2.53,337.86,133.5415
ADVENZYMES.NS,2024-06-30,3.05,374.08,122.6492
ADVENZYMES.NS,2024-09-30,2.94,494.24,168.1088
ADVENZYMES.NS,2024-12-31,3.37,342.35,101.5875
ADVENZYMES.NS,2025-03-31,2.37,274.64,115.8819
ADVENZYMES.NS,2025-06-30,3.57,320.36,89.7367
ADVENZYMES.NS,2025-09-30,3.87,325.7,84.1602
ADVENZYMES.NS,2025-12-31,3.8,302.25,79.5395
ADVENZYMES.NS,2026-03-31,3.84,255.3,66.4844
AEGISLOG.NS,2023-03-31,4.01,367.59,91.6683
AEGISLOG.NS,2023-06-30,3.3,312.58,94.7212
AEGISLOG.NS,2023-09-30,3.62,322.88,89.1934
AEGISLOG.NS,2023-12-31,3.71,344.93,92.973
AEGISLOG.NS,2024-03-31,5.59,439.77,78.6708
AEGISLOG.NS,2024-06-30,3.75,863.68,230.3147
AEGISLOG.NS,2024-09-30,3.59,755.93,210.5655
AEGISLOG.NS,2024-12-31,3.54,811.39,229.2062
AEGISLOG.NS,2025-03-31,8.02,796.99,99.3753
AEGISLOG.NS,2025-06-30,3.74,769.61,205.7781
AEGISLOG.NS,2025-09-30,5.12,765.75,149.5605
AEGISLOG.NS,2025-12-31,5.04,717.6,142.381
AEGISLOG.NS,2026-03-31,11.69,598.65,51.2104
AEGISVOPAK.NS,2024-06-30,234.36,,
AEGISVOPAK.NS,2024-09-30,0.23,,
AEGISVOPAK.NS,2024-12-31,0.38,,
AEGISVOPAK.NS,2025-03-31,0.59,,
AEGISVOPAK.NS,2025-06-30,0.43,245.37,570.6279
AEGISVOPAK.NS,2025-09-30,0.49,260.48,531.5918
AEGISVOPAK.NS,2025-12-31,0.74,249.35,336.9595
AEGISVOPAK.NS,2026-03-31,0.62,161.65,260.7258
AEROENTER.NS,2023-03-31,0.85,59.19,69.6353
AEROENTER.NS,2023-06-30,5.73,79.34,13.8464
AEROENTER.NS,2023-09-30,15.5,102.16,6.591
AEROENTER.NS,2023-12-31,1.06,114.51,108.0283
AEROENTER.NS,2024-03-31,0.53,86.65,163.4906
AEROENTER.NS,2024-06-30,1.16,89.29,76.9741
AEROENTER.NS,2024-09-30,1.31,130.98,99.9847
AEROENTER.NS,2024-12-31,1.24,104.22,84.0484
AEROENTER.NS,2025-03-31,0.98,80.37,82.0102
AEROENTER.NS,2025-06-30,0.9,103.27,114.7444
AEROENTER.NS,2025-09-30,1.24,87.96,70.9355
AEROENTER.NS,2025-12-31,1.42,85.36,60.1127
AEROENTER.NS,2026-03-31,2.12,64.94,30.6321
AEROFLEX.NS,2023-03-31,1.1,,
AEROFLEX.NS,2023-06-30,0.97,,
AEROFLEX.NS,2023-09-30,0.9,152.29,169.2111
AEROFLEX.NS,2023-12-31,0.7,154.53,220.7571
AEROFLEX.NS,2024-03-31,0.78,121.03,155.1667
AEROFLEX.NS,2024-06-30,0.96,159.72,166.375
AEROFLEX.NS,2024-09-30,1.06,177.8,167.7358
AEROFLEX.NS,2024-12-31,1.18,201.8,171.0169
AEROFLEX.NS,2025-03-31,0.87,169.92,195.3103
AEROFLEX.NS,2025-06-30,0.55,212.45,386.2727
AEROFLEX.NS,2025-09-30,1.1,174.24,158.4
AEROFLEX.NS,2025-12-31,1.28,193.1,150.8594
AEROFLEX.NS,2026-03-31,1.33,238.76,179.5188
